    0.410000        0.035451
    0.820000        0.070901
    1.230000        0.106352
    1.640000        0.141803
    2.050000        0.177253
    2.460000        0.212704
    2.870000        0.248154
    3.280000        0.283605
    3.690000        0.319056
    4.100000        0.354506
    4.510000        0.389957
    4.920000        0.425408
    5.330000        0.460858
    5.740000        0.496309
    6.150000        0.531759
    6.560000        0.567210
    6.970000        0.602661
    7.380000        0.638111
    7.790000        0.673562
    8.200000        0.709013
    8.610000        0.744463
    9.020000        0.779914
    9.430000        0.815364
    9.840000        0.850815
   10.250000        0.886266
   10.660000        0.921716
   11.070000        0.957167
   11.480000        0.992618
   11.890000        1.028068
   12.300000        1.063519
   12.710000        1.098970
   13.120000        1.134420
   13.530000        1.169871
   13.940000        1.205321
   14.350000        1.240772
   14.760000        1.276223
   15.170000        1.311673
   15.580000        1.347124
   15.990000        1.382575
   16.400000        1.418025
   16.810000        1.453476
   17.220000        1.488926
   17.630000        1.524377
   18.040000        1.559828
   18.450000        1.595278
   18.860000        1.630729
   19.270000        1.666180
   19.680000        1.701630
   20.090000        1.737081
   20.500000        1.772531
   20.910000        1.807982
   21.320000        1.843433
   21.730000        1.878883
   22.140000        1.914334
   22.550000        1.949785
   22.960000        1.985235
   23.370000        2.020686
   23.780000        2.056137
   24.190000        2.091587
   24.600000        2.127038
   25.010000        2.162488
   25.420000        2.197939
   25.830000        2.233390
   26.240000        2.268840
   26.650000        2.304291
   27.060000        2.339742
   27.470000        2.375192
   27.880000        2.410643
   28.290000        2.446093
   28.700000        2.481544
   29.110000        2.516995
   29.520000        2.552445
   29.930000        2.587896
   30.340000        2.623347
   30.750000        2.658797
   31.160000        2.694248
   31.570000        2.729699
   31.980000        2.765149
   32.390000        2.800600
   32.800000        2.836050
   33.210000        2.871501
   33.620000        2.906952
   34.030000        2.942402
   34.440000        2.977853
   34.850000        3.013304
   35.260000        3.048754
   35.670000        3.084205
   36.080000        3.119655
   36.490000        3.155106
   36.900000        3.190557
   37.310000        3.226007
   37.720000        3.261458
   38.130000        3.296909
   38.540000        3.332359
   38.950000        3.367810
   39.360000        3.403260
   39.770000        3.438711
   40.180000        3.474162
   40.590000        3.509612
   41.000000        3.545063
   41.410000        3.580514
   41.820000        3.615964
   42.230000        3.651415
   42.640000        3.686866
   43.050000        3.722316
   43.460000        3.757767
   43.870000        3.793217
   44.280000        3.828668
   44.690000        3.864119
   45.100000        3.899569
   45.510000        3.935020
   45.920000        3.970471
   46.330000        4.005921
   46.740000        4.041372
   47.150000        4.076822
   47.560000        4.112273
   47.970000        4.147724
   48.380000        4.183174
   48.790000        4.218625
   49.200000        4.254076
   49.610000        4.289526
   50.020000        4.324977
   50.430000        4.360427
   50.840000        4.395878
   51.250000        4.431329
   51.660000        4.466779
   52.070000        4.502230
   52.480000        4.537681
   52.890000        4.573131
   53.300000        4.608582
   53.710000        4.644033
   54.120000        4.679483
   54.530000        4.714934
   54.940000        4.750384
   55.350000        4.785835
   55.760000        4.821286
   56.170000        4.856736
   56.580000        4.892187
   56.990000        4.927638
   57.400000        4.963088
   57.810000        4.998539
   58.220000        5.033989
   58.630000        5.069440
   59.040000        5.104891
   59.450000        5.140341
   59.860000        5.175792
   60.270000        5.211243
   60.680000        5.246693
   61.090000        5.282144
   61.500000        5.317594
   61.910000        5.353045
   62.320000        5.388496
   62.730000        5.423946
   63.140000        5.459397
   63.550000        5.494848
   63.960000        5.530298
   64.370000        5.565749
   64.780000        5.601200
   65.190000        5.636650
   65.600000        5.672101
   66.010000        5.707551
   66.420000        5.743002
   66.830000        5.778453
   67.240000        5.813903
   67.650000        5.849354
   68.060000        5.884805
   68.470000        5.920255
   68.880000        5.955706
   69.290000        5.991156
   69.700000        6.026607
   70.110000        6.062058
   70.520000        6.097508
   70.930000        6.132959
   71.340000        6.168410
   71.750000        6.203860
   72.160000        6.239311
   72.570000        6.274762
   72.980000        6.310212
   73.390000        6.345663
   73.800000        6.381113
   74.210000        6.416564
   74.620000        6.452015
   75.030000        6.487465
   75.440000        6.522916
   75.850000        6.558367
   76.260000        6.593817
   76.670000        6.629268
   77.080000        6.664718
   77.490000        6.700169
   77.900000        6.735620
   78.310000        6.771070
   78.720000        6.806521
   79.130000        6.841972
   79.540000        6.877422
   79.950000        6.912873
   80.360000        6.948323
   80.770000        6.983774
   81.180000        7.019225
   81.590000        7.054675
   82.000000        7.090126
   82.410000        7.125577
   82.820000        7.161027
   83.230000        7.196478
   83.640000        7.231929
   84.050000        7.267379
   84.460000        7.302830
   84.870000        7.338280
   85.280000        7.373731
   85.690000        7.409182
   86.100000        7.444632
   86.510000        7.480083
   86.920000        7.515534
   87.330000        7.550984
   87.740000        7.586435
   88.150000        7.621885
   88.560000        7.657336
   88.970000        7.692787
   89.380000        7.728237
   89.790000        7.763688
   90.200000        7.799139
   90.610000        7.834589
   91.020000        7.870040
   91.430000        7.905490
   91.840000        7.940941
   92.250000        7.976392
   92.660000        8.011842
   93.070000        8.047293
   93.480000        8.082744
   93.890000        8.118194
   94.300000        8.153645
   94.710000        8.189096
   95.120000        8.224546
   95.530000        8.259997
   95.940000        8.295447
   96.350000        8.330898
   96.760000        8.366349
   97.170000        8.401799
   97.580000        8.437250
   97.990000        8.472701
   98.400000        8.508151
   98.810000        8.543602
   99.220000        8.579052
   99.630000        8.614503
  100.040000        8.649954
  100.450000        8.685404
  100.860000        8.720855
  101.270000        8.756306
  101.680000        8.791756
  102.090000        8.827207
  102.500000        8.862657
  102.910000        8.898108
  103.320000        8.933559
  103.730000        8.969009
  104.140000        9.004460
